Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.26971999999999994202e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.59877000000000039220e-004	0.00000000000000000000e+000	-8.68919999999999959073e+001	0.00000000000000000000e+000	4.58674243216008158119e-004	0.00000000000000000000e+000	8.43197363456042996849e-004	0.00000000000000000000e+000	5.64000028651207685471e-001	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.54631999999999963230e-004	0.00000000000000000000e+000	-8.68199999999999931788e+001	0.00000000000000000000e+000	3.94659738248359041185e-004	0.00000000000000000000e+000	8.69232964417328496723e-004	0.00000000000000000000e+000	8.32000028574839234352e-001	1	1
1.26977999999999994429e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.51293999999999989430e-004	0.00000000000000000000e+000	-8.68499999999999943157e+001	0.00000000000000000000e+000	4.19084703952885635671e-004	0.00000000000000000000e+000	8.54007192796830093273e-004	0.00000000000000000000e+000	1.10300002864096313715e+000	1	1
1.26966999999999998749e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.52723999999999953715e-004	0.00000000000000000000e+000	-8.68139999999999929514e+001	0.00000000000000000000e+000	3.88658909006777623495e-004	0.00000000000000000000e+000	8.69843246007958171943e-004	0.00000000000000000000e+000	1.37000002863351255655e+000	1	1
1.27007000000000005002e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.53200999999999983199e-004	0.00000000000000000000e+000	-8.68559999999999945430e+001	0.00000000000000000000e+000	4.25051542608896203070e-004	0.00000000000000000000e+000	8.53184231292865389445e-004	0.00000000000000000000e+000	1.63900002860464155674e+000	1	1
1.26986999999999994770e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.48433000000000045113e-004	0.00000000000000000000e+000	-8.68979999999999961346e+001	0.00000000000000000000e+000	4.58196442448087569010e-004	0.00000000000000000000e+000	8.30410245370874836035e-004	0.00000000000000000000e+000	1.90800002857577055693e+000	1	1
1.26995000000000004547e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.49863000000000009398e-004	0.00000000000000000000e+000	-8.68020000000000067075e+001	0.00000000000000000000e+000	3.77057355687606624711e-004	0.00000000000000000000e+000	8.71818484141549773954e-004	0.00000000000000000000e+000	2.17600002861581742764e+000	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.53200999999999983199e-004	0.00000000000000000000e+000	-8.68919999999999959073e+001	0.00000000000000000000e+000	4.55484137350662776460e-004	0.00000000000000000000e+000	8.37332877070357515549e-004	0.00000000000000000000e+000	2.44400002865586429834e+000	1	1
1.27043999999999996930e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.54155000000000042167e-004	0.00000000000000000000e+000	-8.68199999999999931788e+001	0.00000000000000000000e+000	3.94462539018556939893e-004	0.00000000000000000000e+000	8.68798635666535520872e-004	0.00000000000000000000e+000	2.71200002857949584723e+000	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.54155000000000042167e-004	0.00000000000000000000e+000	-8.68559999999999945430e+001	0.00000000000000000000e+000	4.25476950441713115333e-004	0.00000000000000000000e+000	8.54038130687277945857e-004	0.00000000000000000000e+000	2.97900002857204526663e+000	1	1
1.26954999999999998295e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.53200999999999983199e-004	0.00000000000000000000e+000	-8.69159999999999968168e+001	0.00000000000000000000e+000	4.75447024105898853261e-004	0.00000000000000000000e+000	8.26161166885641543370e-004	0.00000000000000000000e+000	3.24600002856459468603e+000	1	1
1.27037999999999996703e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.52248000000000048397e-004	0.00000000000000000000e+000	-8.68080000000000069349e+001	0.00000000000000000000e+000	3.83241314253527102975e-004	0.00000000000000000000e+000	8.71723779963142495278e-004	0.00000000000000000000e+000	3.51300002855714410543e+000	1	1
1.26992000000000004434e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.53200999999999983199e-004	0.00000000000000000000e+000	-8.68739999999999952252e+001	0.00000000000000000000e+000	4.40339172999782725842e-004	0.00000000000000000000e+000	8.45395504555629569154e-004	0.00000000000000000000e+000	3.78200002864468842745e+000	1	1
1.26968999999999994088e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.54155000000000042167e-004	0.00000000000000000000e+000	-8.67960000000000064801e+001	0.00000000000000000000e+000	3.73499773658687904757e-004	0.00000000000000000000e+000	8.78014625790430095452e-004	0.00000000000000000000e+000	4.05100002861581742764e+000	1	1
1.27024000000000000909e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.51293999999999989430e-004	0.00000000000000000000e+000	-8.68259999999999934062e+001	0.00000000000000000000e+000	3.98469808300243397842e-004	0.00000000000000000000e+000	8.63818317882393180672e-004	0.00000000000000000000e+000	4.32000002858694642782e+000	1	1
1.26992000000000004434e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.52248000000000048397e-004	0.00000000000000000000e+000	-8.68739999999999952252e+001	0.00000000000000000000e+000	4.39898926680413863716e-004	0.00000000000000000000e+000	8.44550287318298177966e-004	0.00000000000000000000e+000	4.58600002864841371775e+000	1	1
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.52248000000000048397e-004	0.00000000000000000000e+000	-8.67900000000000062528e+001	0.00000000000000000000e+000	3.67489050099347987557e-004	0.00000000000000000000e+000	8.78480535675708060564e-004	0.00000000000000000000e+000	4.85300002864096313715e+000	1	1
