Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.26995000000000004547e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.77717999999999994899e-003	0.00000000000000000000e+000	-8.68259999999999934062e+001	0.00000000000000000000e+000	7.44409797512679072620e-004	0.00000000000000000000e+000	1.61376045489010919512e-003	0.00000000000000000000e+000	5.59000087785534560680e-001	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76669000000000001385e-003	0.00000000000000000000e+000	-8.67240000000000037517e+001	0.00000000000000000000e+000	5.72821225511044025518e-004	0.00000000000000000000e+000	1.67124785705293453508e-003	0.00000000000000000000e+000	8.23000087752006947994e-001	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76383000000000008528e-003	0.00000000000000000000e+000	-8.68679999999999949978e+001	0.00000000000000000000e+000	8.05415345993224494371e-004	0.00000000000000000000e+000	1.56920438099650196712e-003	0.00000000000000000000e+000	1.09100008779205381870e+000	1	1
1.27034999999999996589e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75143000000000000071e-003	0.00000000000000000000e+000	-8.67720000000000055707e+001	0.00000000000000000000e+000	6.46715801011858585148e-004	0.00000000000000000000e+000	1.62765651094498131450e-003	0.00000000000000000000e+000	1.35700008773710578680e+000	1	1
1.27007000000000005002e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76239999999999990415e-003	0.00000000000000000000e+000	-8.67240000000000037517e+001	0.00000000000000000000e+000	5.71430261019569831968e-004	0.00000000000000000000e+000	1.66718961632776065639e-003	0.00000000000000000000e+000	1.62300008768215775490e+000	1	1
1.26954999999999998295e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76954999999999994242e-003	0.00000000000000000000e+000	-8.68259999999999934062e+001	0.00000000000000000000e+000	7.41213809061862759220e-004	0.00000000000000000000e+000	1.60683206706737215057e-003	0.00000000000000000000e+000	1.88700008776504546404e+000	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75715000000000007470e-003	0.00000000000000000000e+000	-8.67900000000000062528e+001	0.00000000000000000000e+000	6.78114718415863643002e-004	0.00000000000000000000e+000	1.62102947264007959428e-003	0.00000000000000000000e+000	2.15400008775759488344e+000	1	1
1.26971999999999994202e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75906000000000000728e-003	0.00000000000000000000e+000	-8.67960000000000064801e+001	0.00000000000000000000e+000	6.88576291956811471252e-004	0.00000000000000000000e+000	1.61868921469039499760e-003	0.00000000000000000000e+000	2.42000008770264685154e+000	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75476999999999989759e-003	0.00000000000000000000e+000	-8.67960000000000064801e+001	0.00000000000000000000e+000	6.86896990345442471325e-004	0.00000000000000000000e+000	1.61474155131846792456e-003	0.00000000000000000000e+000	2.68700008769519627094e+000	1	1
1.26986999999999994770e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75763000000000004300e-003	0.00000000000000000000e+000	-8.67840000000000060254e+001	0.00000000000000000000e+000	6.68558974035049751600e-004	0.00000000000000000000e+000	1.62551287756732411142e-003	0.00000000000000000000e+000	2.95400008768774569035e+000	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.75285999999999996500e-003	0.00000000000000000000e+000	-8.68499999999999943157e+001	0.00000000000000000000e+000	7.72207975842226592746e-004	0.00000000000000000000e+000	1.57359874861593969191e-003	0.00000000000000000000e+000	3.22100008768029510975e+000	1	1
1.26954999999999998295e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76669000000000001385e-003	0.00000000000000000000e+000	-8.67360000000000042064e+001	0.00000000000000000000e+000	5.92834475846440900511e-004	0.00000000000000000000e+000	1.66425383891637026883e-003	0.00000000000000000000e+000	3.48600008769426494837e+000	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76954999999999994242e-003	0.00000000000000000000e+000	-8.67600000000000051159e+001	0.00000000000000000000e+000	6.33626091086227517107e-004	0.00000000000000000000e+000	1.65221826015656534682e-003	0.00000000000000000000e+000	3.75300008768681436777e+000	1	1
1.26966999999999998749e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76954999999999994242e-003	0.00000000000000000000e+000	-8.68259999999999934062e+001	0.00000000000000000000e+000	7.41213809061862759220e-004	0.00000000000000000000e+000	1.60683206706737215057e-003	0.00000000000000000000e+000	4.02000008779577910900e+000	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76716999999999998215e-003	0.00000000000000000000e+000	-8.66820000000000021600e+001	0.00000000000000000000e+000	5.02280726062517097683e-004	0.00000000000000000000e+000	1.69428565511430526992e-003	0.00000000000000000000e+000	4.28600008774083107710e+000	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.76764000000000000984e-003	0.00000000000000000000e+000	-8.68319999999999936335e+001	0.00000000000000000000e+000	7.50030965779557075995e-004	0.00000000000000000000e+000	1.60062635239202047041e-003	0.00000000000000000000e+000	4.55300008773338049650e+000	1	1
